Close/Last,Volume,Open,High,Low,Date
493.48,3543193,489.50,496.29,486.53,152
500.03,4634111,492.57,504.63,489.27,153
527.51,8153710,506.03,529.55,503.60,154
503.06,6071165,516.43,526.37,502.70,155
520.65,4088069,506.80,520.99,501.70,156
505.87,4199034,518.72,521.82,504.16,157
534.66,7988683,518.00,536.49,515.82,158
531.79,5386488,533.48,535.00,524.15,159
539.44,4781259,537.83,544.28,535.00,160
539.81,5391074,548.81,551.81,538.24,161
554.09,5602498,540.56,557.65,537.20,162
541.45,9510081,562.61,572.49,541.00,163
541.94,5113126,545.52,551.22,535.10,164
530.79,6347363,549.50,554.33,530.03,165
530.72,7567506,537.07,541.80,525.38,166
525.42,10047180,528.14,533.78,522.26,167
489.05,17405710,501.03,506.85,488.25,168
485.23,6997922,494.69,495.14,482.00,169
488.28,4927862,488.11,490.06,481.35,170
488.24,6186087,487.03,496.82,478.90,171
488.93,3627175,490.01,490.49,482.93,172
486.24,5992731,486.36,494.00,483.28,173
504.21,11120690,488.50,513.90,479.34,174
475.74,7813897,502.01,505.88,472.21,175
484.12,4408193,478.87,486.30,475.00,176
487.22,3690213,484.93,495.31,478.76,177
496.95,5137330,495.36,507.73,493.98,178
513.76,5372781,506.56,518.73,503.45,179
514.73,4236349,515.00,515.21,502.51,180
470.50,10419680,485.54,495.85,467.26,181
480.24,8306142,470.95,484.60,463.41,182
490.76,5460532,483.00,491.68,478.26,183
486.77,5071155,491.00,496.52,480.43,184
482.84,3006510,486.77,488.94,477.80,185
479.10,3953563,480.00,485.58,477.30,186
480.63,3698082,480.12,487.51,478.85,187
481.79,3629237,481.95,488.61,477.72,188
484.67,2254653,482.00,487.80,480.47,189
488.24,4255924,485.22,494.76,481.57,190
476.62,5416571,490.46,491.15,475.84,191
482.88,3557894,478.84,484.05,475.89,192
485.00,3598629,485.13,486.90,478.92,193
491.36,2805762,486.58,493.25,481.85,194
490.70,3530940,490.08,492.55,481.27,195
504.58,5063234,492.34,509.47,491.98,196
503.38,3028358,501.62,506.80,493.50,197
497.52,2826116,502.99,508.77,496.04,198
498.31,3666243,497.50,504.50,493.64,199
515.78,4289293,500.01,517.76,497.77,200
512.66,4228950,517.90,521.49,505.55,201
493.60,4178768,510.53,514.50,491.29,202
501.09,3018203,494.56,503.77,492.91,203
503.22,3210928,495.00,503.34,494.85,204
522.42,5770424,505.44,524.16,501.18,205
519.78,3398209,518.50,524.70,513.56,206
524.83,3682392,520.11,527.38,517.69,207
532.90,3193377,529.00,535.49,526.44,208
534.45,4502692,533.20,536.37,526.02,209
528.91,3893964,530.05,532.62,521.15,210
527.33,1908529,527.69,530.40,520.50,211
514.48,2393187,524.76,526.32,514.20,212
513.97,1143952,515.12,519.35,512.21,213
519.12,2891867,516.43,523.66,507.13,214
530.87,4022358,519.90,536.55,515.48,215
524.59,1876286,530.13,533.26,523.69,216
540.73,5392322,525.53,545.50,523.15,217
522.86,4444407,539.00,540.80,515.09,218
520.80,3133872,521.55,526.78,515.89,219
500.49,5346210,511.97,513.10,499.50,220
508.89,3686448,508.28,516.44,506.42,221
510.40,2973949,511.31,513.24,504.51,222
499.10,3812720,507.84,510.73,497.95,223
494.25,5990425,500.00,501.09,485.67,224
507.79,5032099,495.50,512.35,493.01,225
500.86,4177357,507.35,514.50,499.58,226
497.98,5895788,500.00,506.32,495.10,227
501.77,12315810,501.00,509.25,493.54,228
586.34,32637450,565.42,593.29,556.86,229
579.84,11840630,582.45,588.75,570.40,230
565.17,7550822,582.10,583.99,564.35,231
556.78,7207329,567.00,569.75,548.65,232
561.93,5023847,554.73,567.99,554.06,233
523.28,8670277,550.71,556.42,515.73,234
538.60,5968978,535.88,553.15,530.74,235
532.39,4325264,538.00,541.00,530.18,236
539.04,3547507,536.79,545.06,531.73,237
548.16,3767569,542.01,555.48,538.94,238
539.45,3172288,550.17,550.48,538.24,239
552.16,5164537,539.81,559.48,537.51,240
550.79,2376175,552.26,554.44,545.48,241
547.92,2791721,555.00,555.00,543.70,242
559.07,3703499,546.00,566.00,543.00,243
563.59,3991264,562.50,566.65,553.46,244
557.59,2730587,564.44,565.93,554.22,245
556.52,2197128,556.94,561.25,550.85,246
557.28,2624097,557.29,563.63,552.73,247
551.34,2071590,550.99,555.25,543.03,248
548.22,2457604,549.00,550.00,538.23,249
540.22,2841457,548.00,548.99,538.81,250
533.78,3078594,534.99,541.79,530.79,251
546.15,4136532,525.00,548.54,518.28,252
553.41,3245038,539.80,556.85,539.07,253
546.70,4252879,550.27,556.48,535.75,254
538.85,3755574,546.51,553.09,538.00,255
550.64,3042180,545.57,552.14,542.00,256
547.82,3042226,553.34,556.99,546.02,257
520.70,5362443,545.93,548.01,517.81,258
511.29,5034792,521.50,531.50,507.68,259
516.39,5069973,511.98,517.76,498.79,260
493.33,3981758,514.46,518.84,492.85,261
506.44,3470042,507.31,513.11,503.82,262
504.54,3771484,513.50,518.97,504.25,263
523.06,4714469,512.21,530.24,510.71,264
518.02,3981743,512.50,526.51,506.59,265
520.25,3485519,516.32,520.73,508.03,266
524.03,3238888,524.47,533.42,523.21,267
524.44,2817376,522.00,528.37,514.30,268
504.79,4096606,516.40,517.90,503.85,269
512.18,4386360,504.96,513.19,501.63,270
523.11,3360587,509.13,529.31,509.13,271
535.09,5583461,529.87,543.12,529.40,272
520.81,4102211,533.78,534.42,520.00,273
502.86,4926764,516.99,518.53,497.00,274
508.05,3467797,502.82,508.72,496.68,275
513.95,3330049,505.66,518.00,504.40,276
513.39,2418129,510.51,514.41,506.91,277
521.66,3503111,515.68,528.13,515.44,278
539.42,3938637,529.93,540.50,527.03,279
540.67,3355904,540.01,542.85,529.23,280
544.53,3474205,544.81,554.17,543.30,281
546.99,2151319,543.50,549.64,541.45,282
554.58,4309829,551.13,556.90,547.57,283
555.31,2894034,552.69,556.90,547.11,284
552.78,2944060,551.05,557.98,549.58,285
553.73,2720344,557.00,559.75,550.30,286
540.02,3740294,554.87,554.87,538.53,287
549.22,3139050,544.17,553.49,542.66,288
546.54,3209075,550.54,551.98,539.51,289
554.44,4288715,546.90,556.44,545.53,290
549.57,11257650,554.42,563.56,546.30,291
508.90,22897450,508.00,515.46,503.60,292
508.78,9061062,513.82,513.96,500.55,293
505.55,7314659,509.01,509.70,500.70,294
510.30,4388839,506.76,510.48,503.00,295
