Close/Last,Volume,Open,High,Low,Day
519.30,2390466,521.82,524.47,516.98,897
518.91,2759037,518.08,521.95,512.05,898
516.49,2254538,514.38,521.13,509.01,899
515.41,3820478,512.16,517.41,504.66,900
511.77,4328061,510.21,513.68,507.00,901
513.63,11906790,526.13,530.99,505.61,902
531.05,6930440,526.07,536.64,520.30,903
532.28,3885764,526.05,534.91,522.24,904
530.31,3442101,541.81,544.06,527.05,905
542.95,5713873,553.97,557.54,538.20,906
547.95,4659535,541.01,554.10,541.01,907
540.68,2751593,535.76,545.33,535.76,908
537.31,1780738,540.30,540.65,532.92,909
535.98,2777231,531.00,538.26,528.58,910
530.76,3268988,530.93,535.50,529.09,911
535.96,2722498,544.24,544.64,531.66,912
541.64,2775051,533.00,542.86,533.00,913
533.98,1980316,535.50,538.54,529.39,914
533.54,2805402,525.72,537.04,525.72,915
528.21,2773445,534.06,534.38,526.82,916
533.50,2314647,533.55,536.13,528.57,917
533.03,2820227,528.12,533.94,524.56,918
527.07,5299072,528.84,533.06,525.00,919
518.06,3361202,517.96,520.96,514.40,920
512.74,3944782,508.48,516.63,508.20,921
508.82,5809271,498.54,513.55,495.80,922
497.00,5277297,501.64,502.05,492.28,923
500.77,5197576,496.40,504.49,495.24,924
498.34,3198273,490.25,501.80,490.15,925
492.41,3533206,495.00,496.46,486.28,926
491.90,3104073,501.23,501.23,490.40,927
499.89,4400222,489.68,503.50,486.91,928
488.77,3123969,490.00,491.41,487.78,929
487.27,4382928,487.17,490.21,482.14,930
485.81,3055029,494.50,496.09,484.65,931
492.39,2374037,497.00,498.82,489.37,932
494.66,2791932,492.92,496.70,490.55,933
494.74,3160487,492.00,501.86,490.95,934
489.43,3887445,495.19,496.66,487.25,935
499.24,2268979,499.82,503.22,495.82,936
499.08,2482555,504.01,505.41,497.74,937
502.81,2911297,504.40,511.76,502.53,938
503.86,3253773,501.80,505.10,498.54,939
502.36,2465303,502.34,504.14,500.50,940
501.34,2699459,506.00,506.37,499.22,941
502.90,2412595,501.05,504.25,499.51,942
497.89,3322925,503.12,505.40,497.26,943
501.67,3721218,489.55,502.70,488.98,944
487.70,3349930,481.63,488.57,478.54,945
486.28,2350496,488.40,493.48,486.19,946
488.94,2701057,485.59,492.71,482.81,947
493.37,2882464,487.86,494.85,486.59,948
486.66,2716561,489.13,490.78,482.71,949
484.98,4121540,486.83,493.54,482.70,950
495.08,4401000,479.75,497.99,478.63,951
486.69,5131632,502.00,503.15,486.11,952
503.84,3132786,504.62,508.55,501.12,953
499.55,3783698,495.99,499.55,491.37,954
496.08,3129366,504.99,507.78,494.63,955
503.18,4349502,510.78,511.63,496.79,956
509.11,4091895,512.65,518.95,505.20,957
513.47,4413242,505.00,514.55,505.00,958
509.00,5127792,507.60,509.29,499.00,959
506.52,3192983,505.20,508.40,503.34,960
505.55,3761327,512.62,512.99,504.58,961
510.30,4388839,506.76,510.48,503.00,962
505.55,7314659,509.01,509.70,500.70,963
508.78,9061062,513.82,513.96,500.55,964
508.90,22897450,508.00,515.46,503.60,965
549.57,11257650,554.42,563.56,546.30,966
554.44,4288715,546.90,556.44,545.53,967
546.54,3209075,550.54,551.98,539.51,968
549.22,3139050,544.17,553.49,542.66,969
540.02,3740294,554.87,554.87,538.53,970
553.73,2720344,557.00,559.75,550.30,971
552.78,2944060,551.05,557.98,549.58,972
555.31,2894034,552.69,556.90,547.11,973
554.58,4309829,551.13,556.90,547.57,974
546.99,2151319,543.50,549.64,541.45,975
544.53,3474205,544.81,554.17,543.30,976
540.67,3355904,540.01,542.85,529.23,977
539.42,3938637,529.93,540.50,527.03,978
521.66,3503111,515.68,528.13,515.44,979
513.39,2418129,510.51,514.41,506.91,980
513.95,3330049,505.66,518.00,504.40,981
508.05,3467797,502.82,508.72,496.68,982
502.86,4926764,516.99,518.53,497.00,983
520.81,4102211,533.78,534.42,520.00,984
535.09,5583461,529.87,543.12,529.40,985
523.11,3360587,509.13,529.31,509.13,986
512.18,4386360,504.96,513.19,501.63,987
504.79,4096606,516.40,517.90,503.85,988
524.44,2817376,522.00,528.37,514.30,989
524.03,3238888,524.47,533.42,523.21,990
520.25,3485519,516.32,520.73,508.03,991
518.02,3981743,512.50,526.51,506.59,992
523.06,4714469,512.21,530.24,510.71,993
504.54,3771484,513.50,518.97,504.25,994
506.44,3470042,507.31,513.11,503.82,995
493.33,3981758,514.46,518.84,492.85,996
516.39,5069973,511.98,517.76,498.79,997
511.29,5034792,521.50,531.50,507.68,998
